Feature-Set;NSHAP-Value
season,weekday,workingday,weathersit,windspeed;0.1830
season,weekday,workingday,temp,atemp;-2.2225
season,weekday,workingday,temp,hum;-0.3778
season,weekday,workingday,temp,windspeed;-1.0550
season,weekday,workingday,atemp,hum;-0.7255
season,weekday,workingday,atemp,windspeed;0.5759
season,weekday,workingday,hum,windspeed;0.0762
season,weekday,weathersit,temp,atemp;0.5219
season,weekday,weathersit,temp,hum;2.8575
season,weekday,weathersit,temp,windspeed;0.2268
season,weekday,weathersit,atemp,hum;2.4988
season,weekday,weathersit,atemp,windspeed;1.0795
season,weekday,weathersit,hum,windspeed;1.3166
season,weekday,temp,atemp,hum;7.1445
season,weekday,temp,atemp,windspeed;2.3899
season,weekday,temp,hum,windspeed;-8.9525
season,weekday,atemp,hum,windspeed;-3.2486
season,workingday,weathersit,temp,atemp;-0.3779
season,workingday,weathersit,temp,hum;-6.4172
season,workingday,weathersit,temp,windspeed;-0.9100
season,workingday,weathersit,atemp,hum;-1.4177
season,workingday,weathersit,atemp,windspeed;-0.3420
season,workingday,weathersit,hum,windspeed;1.7067
season,workingday,temp,atemp,hum;8.5456
season,workingday,temp,atemp,windspeed;-2.7326
season,workingday,temp,hum,windspeed;0.4424
season,workingday,atemp,hum,windspeed;1.2100
season,weathersit,temp,atemp,hum;-3.1950
season,weathersit,temp,atemp,windspeed;-1.2604
season,weathersit,temp,hum,windspeed;1.2426
season,weathersit,atemp,hum,windspeed;0.3586
season,temp,atemp,hum,windspeed;21.9265
mnth,holiday,weekday,workingday,weathersit;0.0000
mnth,holiday,weekday,workingday,temp;-0.0000
mnth,holiday,weekday,workingday,atemp;-0.0000
mnth,holiday,weekday,workingday,hum;-0.0000
mnth,holiday,weekday,workingday,windspeed;-0.0000
mnth,holiday,weekday,weathersit,temp;0.0059
mnth,holiday,weekday,weathersit,atemp;0.0059
mnth,holiday,weekday,weathersit,hum;-0.0000
mnth,holiday,weekday,weathersit,windspeed;0.0039
mnth,holiday,weekday,temp,atemp;0.1797
mnth,holiday,weekday,temp,hum;0.0821
mnth,holiday,weekday,temp,windspeed;0.0649
mnth,holiday,weekday,atemp,hum;0.0646
mnth,holiday,weekday,atemp,windspeed;0.0854
mnth,holiday,weekday,hum,windspeed;0.0511
mnth,holiday,workingday,weathersit,temp;0.0000
mnth,holiday,workingday,weathersit,atemp;0.0000
mnth,holiday,workingday,weathersit,hum;0.0000
mnth,holiday,workingday,weathersit,windspeed;-0.0000
mnth,holiday,workingday,temp,atemp;0.0000
mnth,holiday,workingday,temp,hum;-0.0000
mnth,holiday,workingday,temp,windspeed;-0.0000
mnth,holiday,workingday,atemp,hum;-0.0000
mnth,holiday,workingday,atemp,windspeed;-0.0000
mnth,holiday,workingday,hum,windspeed;-0.0000
mnth,holiday,weathersit,temp,atemp;-0.0369
mnth,holiday,weathersit,temp,hum;-0.0025
mnth,holiday,weathersit,temp,windspeed;-0.0441
mnth,holiday,weathersit,atemp,hum;0.0037
mnth,holiday,weathersit,atemp,windspeed;-0.0064
