Feature-Set;NSHAP-Value
hypertension,chronic.kidney.disease,asthma;-0.0000
hypertension,chronic.kidney.disease,copd;0.0003
hypertension,chronic.kidney.disease,dementia;0.0000
hypertension,chronic.kidney.disease,cancer;0.0001
hypertension,asthma,copd;0.0001
hypertension,asthma,dementia;-0.0001
hypertension,asthma,cancer;-0.0000
hypertension,copd,dementia;-0.0001
hypertension,copd,cancer;0.0003
hypertension,dementia,cancer;-0.0001
hyperlipidemia,diabetes,coronary.artery.disease;0.0068
hyperlipidemia,diabetes,chf;0.0036
hyperlipidemia,diabetes,cerebrovascular.disease;0.0010
hyperlipidemia,diabetes,hepatitis;0.0001
hyperlipidemia,diabetes,endstage.renal.disease;-0.0003
hyperlipidemia,diabetes,chronic.kidney.disease;0.0003
hyperlipidemia,diabetes,asthma;0.0005
hyperlipidemia,diabetes,copd;0.0003
hyperlipidemia,diabetes,dementia;0.0028
hyperlipidemia,diabetes,cancer;0.0006
hyperlipidemia,coronary.artery.disease,chf;0.0002
hyperlipidemia,coronary.artery.disease,cerebrovascular.disease;0.0008
hyperlipidemia,coronary.artery.disease,hepatitis;0.0001
hyperlipidemia,coronary.artery.disease,endstage.renal.disease;-0.0007
hyperlipidemia,coronary.artery.disease,chronic.kidney.disease;-0.0011
hyperlipidemia,coronary.artery.disease,asthma;-0.0014
hyperlipidemia,coronary.artery.disease,copd;-0.0002
hyperlipidemia,coronary.artery.disease,dementia;0.0008
hyperlipidemia,coronary.artery.disease,cancer;0.0005
hyperlipidemia,chf,cerebrovascular.disease;0.0001
hyperlipidemia,chf,hepatitis;0.0001
hyperlipidemia,chf,endstage.renal.disease;0.0001
hyperlipidemia,chf,chronic.kidney.disease;-0.0003
hyperlipidemia,chf,asthma;-0.0009
hyperlipidemia,chf,copd;0.0010
hyperlipidemia,chf,dementia;-0.0007
hyperlipidemia,chf,cancer;-0.0004
hyperlipidemia,cerebrovascular.disease,hepatitis;-0.0000
hyperlipidemia,cerebrovascular.disease,endstage.renal.disease;-0.0000
hyperlipidemia,cerebrovascular.disease,chronic.kidney.disease;-0.0003
hyperlipidemia,cerebrovascular.disease,asthma;0.0001
hyperlipidemia,cerebrovascular.disease,copd;0.0002
hyperlipidemia,cerebrovascular.disease,dementia;-0.0003
hyperlipidemia,cerebrovascular.disease,cancer;-0.0002
hyperlipidemia,hepatitis,endstage.renal.disease;-0.0000
hyperlipidemia,hepatitis,chronic.kidney.disease;-0.0000
hyperlipidemia,hepatitis,asthma;-0.0000
hyperlipidemia,hepatitis,copd;-0.0000
hyperlipidemia,hepatitis,dementia;0.0001
hyperlipidemia,hepatitis,cancer;0.0002
hyperlipidemia,endstage.renal.disease,chronic.kidney.disease;0.0001
hyperlipidemia,endstage.renal.disease,asthma;0.0001
hyperlipidemia,endstage.renal.disease,copd;0.0001
hyperlipidemia,endstage.renal.disease,dementia;0.0000
hyperlipidemia,endstage.renal.disease,cancer;0.0000
hyperlipidemia,chronic.kidney.disease,asthma;-0.0001
hyperlipidemia,chronic.kidney.disease,copd;-0.0001
hyperlipidemia,chronic.kidney.disease,dementia;-0.0002
hyperlipidemia,chronic.kidney.disease,cancer;-0.0002
